dataset,lossfunction,recall,acc,f1_macro,f1_micro,auroc,avg_training_time,acc_class_0,f1_class_0,auc_class_0,acc_class_1,f1_class_1,auc_class_1,acc_class_2,f1_class_2,auc_class_2,acc_class_3,f1_class_3,auc_class_3,acc_class_4,f1_class_4,auc_class_4,acc_class_5,f1_class_5,auc_class_5
CiteSeer,CEL,0.7194767903862677,0.753,0.7234199669844226,0.753,0.9112281203269958,0.14477932214736938,40.25974025974026,0.46969696969696967,0.7994611022780036,71.97802197802197,0.7178082191780821,0.912289422069373,76.79558011049724,0.7183462532299741,0.9219739744601624,79.22077922077922,0.7991266375545851,0.9360219321207619,83.4319526627219,0.815028901734104,0.9491736625866035,80.0,0.8205128205128205,0.9484486607142857
CiteSeer,CEL,0.7305301049590255,0.76,0.7322297740910085,0.76,0.9119375348091125,0.14863781690597533,44.15584415584416,0.4788732394366197,0.7947264003602031,74.72527472527473,0.7064935064935064,0.9144657298691528,74.03314917127072,0.7362637362637363,0.9147896302592435,78.35497835497836,0.8098434004474273,0.9407956586110033,85.79881656804734,0.8285714285714285,0.9552296726692728,81.25,0.8333333333333334,0.9516183035714285
CiteSeer,CEL,0.7371187723477354,0.766,0.7397169233651014,0.766,0.9162278175354004,0.1448437476158142,45.45454545454545,0.5072463768115941,0.799728440573511,74.72527472527473,0.7253333333333334,0.9222507321529325,73.48066298342542,0.7247956403269755,0.9181760535351695,79.65367965367966,0.8105726872246696,0.9423268539003258,85.20710059171597,0.8275862068965518,0.9605949914197623,83.75,0.8427672955974843,0.9542894345238095
CiteSeer,CEL,0.726675802564296,0.76,0.7304463471463668,0.76,0.9136843085289001,0.14429908752441406,41.55844155844156,0.48854961832061067,0.8108581559285785,73.07692307692308,0.7074468085106383,0.916346489696123,74.58563535911603,0.7356948228882834,0.9155148105424348,80.95238095238095,0.816593886462882,0.9379781466907605,85.20710059171597,0.8205128205128205,0.9504553578421948,80.625,0.8138801261829655,0.950952380952381
CiteSeer,CEL,0.4604883346808548,0.496,0.42141118319074683,0.496,0.7983158230781555,0.14438695430755616,5.194805194805195,0.0963855421686747,0.6913579378368111,2.197802197802198,0.04278074866310161,0.5850842311722507,97.23756906077348,0.464993394980185,0.924092175473391,43.29004329004329,0.5681818181818182,0.7871300784174646,73.37278106508876,0.7230320699708455,0.9170636361694402,55.0,0.6330935251798562,0.8851674107142857
CiteSeer,CEL,0.73471448290695,0.77,0.7396324746580129,0.7699999999999999,0.9169487357139587,0.14531147718429566,40.25974025974026,0.49599999999999994,0.8114280086111072,76.37362637362638,0.7239583333333333,0.9198897068701469,72.92817679558011,0.7292817679558011,0.910371089929101,81.81818181818181,0.8235294117647058,0.9433542183867282,87.57396449704142,0.8385269121813032,0.958992872350273,81.875,0.8264984227129337,0.9576562499999999
CiteSeer,CEL,0.7218568889202124,0.758,0.7261818691032715,0.7579999999999999,0.910193681716919,0.14467171669006348,37.66233766233766,0.47154471544715454,0.8012832238184351,71.42857142857143,0.7142857142857143,0.9127562535264245,76.79558011049724,0.7164948453608246,0.9168504914361266,79.65367965367966,0.8123620309050772,0.9321657969252248,87.57396449704142,0.8245125348189415,0.9571842579340498,80.0,0.817891373801917,0.9409226190476191
CiteSeer,CEL,0.7339484711350415,0.765,0.7365100293586249,0.765,0.9138891696929932,0.14434924125671386,42.857142857142854,0.4852941176470588,0.7986801930463903,78.02197802197803,0.7338501291989663,0.9209812192697279,74.58563535911603,0.7317073170731707,0.9151741444559123,77.92207792207792,0.8071748878923768,0.9409898727193917,86.98224852071006,0.8352272727272727,0.9578963108538225,80.0,0.8258064516129033,0.9496130952380952
CiteSeer,CEL,0.7244854491202238,0.762,0.7278283762716486,0.762,0.9111441969871521,0.15481430530548096,36.36363636363637,0.4444444444444444,0.7919897004404046,78.57142857142857,0.7295918367346939,0.9194228754130952,72.92817679558011,0.7213114754098361,0.9048394821875484,79.22077922077922,0.8097345132743362,0.9393376454494791,86.98224852071006,0.8376068376068375,0.9561375401419833,80.625,0.8242811501597445,0.9551376488095238
CiteSeer,CEL,0.7188796009145032,0.752,0.7207051861158592,0.752,0.9129237532615662,0.1612599301338196,38.96103896103896,0.45454545454545453,0.8011214137974703,75.27472527472527,0.7007672634271099,0.9129510465085034,71.2707182320442,0.7068493150684931,0.9133966095292062,77.4891774891775,0.8136363636363636,0.9383074662658538,85.20710059171597,0.829971181556196,0.9556391030981423,83.125,0.8184615384615385,0.9561272321428571
CiteSeer,CEL,0.7318662954779084,0.768,0.7358299804713407,0.768,0.9122644066810608,0.1606375503540039,37.66233766233766,0.46774193548387094,0.7998832153761732,79.12087912087912,0.7519582245430809,0.92121967274779,74.03314917127072,0.7204301075268816,0.9081550739009302,78.78787878787878,0.8035320088300222,0.9394277157606157,86.3905325443787,0.8295454545454545,0.9553471614010354,83.125,0.8417721518987342,0.9495535714285714
CiteSeer,CEL,0.7279383633731807,0.761,0.7311977226321981,0.761,0.9138081073760986,0.14754262924194336,40.25974025974026,0.48437499999999994,0.8048360090613611,75.82417582417582,0.7168831168831169,0.9204169913216367,72.37569060773481,0.723756906077348,0.9067384426500448,78.78787878787878,0.8088888888888889,0.9415528121639956,86.3905325443787,0.8271954674220963,0.9583484644578786,83.125,0.8260869565217391,0.9509561011904764
CiteSeer,CEL,0.7324524984506923,0.761,0.7333644929225774,0.761,0.9152579307556152,0.14676748514175414,45.45454545454545,0.48611111111111105,0.8044912833645228,74.72527472527473,0.723404255319149,0.9191777049356511,73.48066298342542,0.7388888888888888,0.9104925154648911,79.22077922077922,0.8061674008810573,0.9431600042783398,82.84023668639053,0.823529411764706,0.9574477175143657,83.75,0.8220858895705521,0.956778273809524
CiteSeer,CEL,0.7233977935343213,0.761,0.7245500567633075,0.761,0.9154554009437561,0.1471260666847229,36.36363636363637,0.417910447761194,0.8142069198407227,73.62637362637362,0.7108753315649868,0.9166756226658426,75.13812154696133,0.7351351351351352,0.9118113317008344,80.08658008658008,0.825892857142857,0.9480603921436171,87.57396449704142,0.8268156424581006,0.9567214235361972,81.25,0.8306709265175718,0.9452566964285714
CiteSeer,CEL,0.7315732985848266,0.769,0.7373608162060795,0.769,0.9141364693641663,0.14608936071395873,37.66233766233766,0.4915254237288135,0.8069676802071168,73.62637362637362,0.7071240105540898,0.9185194389962116,75.13812154696133,0.7351351351351352,0.9124083405851362,81.81818181818181,0.8253275109170306,0.9386114535659398,87.57396449704142,0.8338028169014083,0.9550267375871375,83.125,0.83125,0.9532849702380952
CiteSeer,CEL,0.7341946622638824,0.771,0.7380582924201403,0.771,0.9140790104866028,0.14512362003326415,37.66233766233766,0.47154471544715454,0.8009807094314138,78.02197802197803,0.7395833333333333,0.9219014481850668,75.13812154696133,0.7371273712737128,0.9112278145427317,79.65367965367966,0.8141592920353983,0.9413220069917079,88.16568047337279,0.8394366197183097,0.957226981109236,81.875,0.8264984227129337,0.9518154761904761
CiteSeer,CEL,0.7406118259603173,0.771,0.7442543693100481,0.771,0.9103428721427917,0.1464732265472412,44.15584415584416,0.5112781954887218,0.7931294058054621,79.12087912087912,0.7328244274809161,0.9182574760203123,69.61325966850829,0.7283236994219654,0.9059087014888121,80.08658008658008,0.8078602620087335,0.9370295937266028,86.3905325443787,0.8271954674220963,0.9560983772313958,85.0,0.858044164037855,0.9516331845238095
CiteSeer,CEL,0.727098140915608,0.763,0.729340367605002,0.763,0.9133548140525818,0.1476355981826782,37.66233766233766,0.4461538461538462,0.800931462903294,76.37362637362638,0.7277486910994765,0.9199635938633494,72.92817679558011,0.7292817679558011,0.9102260538724627,79.22077922077922,0.8079470198675496,0.9401088724885864,87.57396449704142,0.8268156424581006,0.9576114896859134,82.5,0.8380952380952381,0.9512872023809524
CiteSeer,CEL,0.7263702071527188,0.755,0.7275126852055488,0.755,0.913970410823822,0.1489403510093689,44.15584415584416,0.4788732394366197,0.8126169605042843,69.78021978021978,0.6958904109589041,0.9119770815981083,77.34806629834254,0.7197943444730077,0.915501318816236,77.4891774891775,0.8136363636363636,0.9353435900900141,85.79881656804734,0.8262108262108262,0.9582380962553138,81.25,0.8306709265175718,0.9501450892857144
CiteSeer,CEL,0.4204455000128077,0.424,0.31204139204666786,0.424,0.7761738300323486,0.14562704563140869,3.896103896103896,0.07500000000000001,0.6010749813566715,69.78021978021978,0.6446700507614213,0.854687793868723,0.0,0.0,0.6527769345448903,0.0,0.0,0.7265380912975191,91.71597633136095,0.42291950886766705,0.8972222815599655,86.875,0.7296587926509187,0.9247433035714286
CiteSeer,CEL,0.7439074103518429,0.775,0.7458002151658191,0.775,0.9117276072502136,0.14528774976730346,44.15584415584416,0.4963503649635037,0.8044912833645228,80.76923076923077,0.7577319587628866,0.9129711975066497,72.37569060773481,0.7318435754189945,0.9090994947348539,80.08658008658008,0.825892857142857,0.942326853900326,85.20710059171597,0.8228571428571428,0.9544677760451157,83.75,0.8401253918495297,0.9470089285714286
CiteSeer,CEL,0.6867297813510095,0.75,0.6747452695068779,0.75,0.9023780226707458,0.1481282591819763,9.090909090909092,0.1627906976744186,0.7282154465253057,78.57142857142857,0.7258883248730965,0.9222742416507697,74.03314917127072,0.7302452316076294,0.9145771355716107,81.38528138528139,0.7966101694915255,0.9380006642685446,85.20710059171597,0.8158640226628895,0.9601962417846894,83.75,0.8170731707317073,0.9510044642857143
CiteSeer,CEL,0.7365782690594102,0.772,0.7397003209485021,0.772,0.9120690226554871,0.14870800018310548,40.25974025974026,0.4626865671641791,0.8022329782893163,78.57142857142857,0.7333333333333334,0.9161181117171335,70.1657458563536,0.7405247813411078,0.9064247600159202,82.25108225108225,0.811965811965812,0.9370239643321568,87.57396449704142,0.8505747126436782,0.9578464671494387,83.125,0.8391167192429022,0.9527678571428572
